"carat";"cut";"color";"clarity";"depth";"table";"price";"x";"y";"z"
1.12;"Ideal";"H";"SI1";60.7;56;5457;6.74;6.7;4.08
1.13;"Premium";"H";"SI1";62.6;60;4256;6.68;6.62;4.16
1.01;"Very Good";"E";"VVS2";63.3;58;8912;6.39;6.31;4.02
1;"Very Good";"G";"SI2";62.6;58;4725;6.34;6.38;3.98
0.38;"Ideal";"I";"VVS2";63.4;53;809;4.61;4.63;2.93
0.38;"Very Good";"H";"VS2";62.8;56;700;4.59;4.62;2.89
1.16;"Premium";"G";"VS1";61.9;58;7962;6.72;6.76;4.17
0.4;"Ideal";"D";"VS1";59.9;57;1123;4.77;4.82;2.87
0.3;"Ideal";"H";"VVS1";62.3;57;665;4.27;4.3;2.67
1.2;"Premium";"G";"VS2";62.5;58;9677;6.74;6.67;4.19
0.5;"Premium";"F";"VVS2";63;57;2160;5.05;5.01;3.17
0.6;"Ideal";"H";"VS2";62.1;55;1442;5.42;5.46;3.38
0.43;"Good";"G";"SI1";63.6;55;903;4.83;4.79;3.06
1.36;"Ideal";"F";"SI2";62;56;7157;7.08;7.11;4.4
0.57;"Premium";"E";"VS2";61.4;58;1949;5.37;5.32;3.28
2;"Very Good";"H";"SI1";60.3;61;16092;8.11;8.17;4.91
0.76;"Ideal";"D";"VS2";60.2;56;3352;5.92;5.95;3.57
0.36;"Ideal";"H";"IF";62.2;54.1;877;4.57;4.6;2.86
1.01;"Fair";"G";"SI2";68.5;63;3173;6.08;6;4.14
0.38;"Good";"D";"VS2";64.1;55;809;4.58;4.62;2.95
0.58;"Very Good";"H";"VVS1";63.3;55;1979;5.27;5.31;3.35
1.2;"Very Good";"G";"SI2";61.7;59;5518;6.81;6.86;4.22
0.4;"Ideal";"G";"VS1";62.2;56;1125;4.74;4.72;2.94
0.3;"Ideal";"F";"VVS1";61.5;56;1041;4.32;4.36;2.67
1;"Premium";"F";"SI2";61.5;58;4255;6.38;6.41;3.93
1.04;"Premium";"F";"SI1";62.2;60;5300;6.48;6.44;4.02
0.27;"Ideal";"G";"VS1";62.3;53;527;4.16;4.19;2.6
1.61;"Very Good";"E";"SI2";61.9;57;8288;7.44;7.48;4.62
0.42;"Ideal";"E";"VS2";61.3;56;1024;4.85;4.81;2.96
0.33;"Ideal";"H";"SI1";61;55;511;4.45;4.49;2.73
2.01;"Good";"I";"SI1";64.1;60;10184;7.92;7.88;5.06
1.26;"Ideal";"G";"VS2";60.8;55;9399;7.02;7.04;4.28
1.52;"Very Good";"G";"VVS2";62.9;59;15265;7.25;7.29;4.57
1.56;"Ideal";"I";"VVS2";62;56;10481;7.39;7.42;4.6
0.43;"Premium";"D";"VS2";59.7;59;901;4.89;4.93;2.93
0.9;"Good";"H";"SI1";66.1;57;3282;5.94;5.99;3.94
0.3;"Ideal";"D";"VVS2";61.6;56;1041;4.32;4.35;2.67
0.34;"Ideal";"H";"IF";62;53;863;4.49;4.51;2.79
1.24;"Premium";"G";"VVS2";59.9;60;10202;6.98;7;4.19
0.91;"Very Good";"I";"VVS2";63.5;59;3618;6.1;6.06;3.86
0.7;"Very Good";"E";"VS2";58.8;56;2473;5.79;5.84;3.42
0.3;"Ideal";"F";"VS2";62;55;776;4.33;4.31;2.68
0.53;"Ideal";"I";"VS2";60.3;60;1279;5.25;5.22;3.16
1.5;"Fair";"I";"SI2";68.1;59;6209;7.12;6.84;4.75
1.14;"Very Good";"F";"VS2";59;60;8131;6.84;6.81;4.03
0.35;"Premium";"H";"VS1";62.6;59;788;4.5;4.45;2.8
1;"Premium";"E";"SI2";60.7;58;3763;6.45;6.38;3.9
1.01;"Premium";"H";"VS1";61.1;58;5515;6.48;6.45;3.95
1.02;"Premium";"F";"VVS2";62.9;59;9103;6.42;6.37;4.02
1;"Very Good";"E";"SI2";62.2;59;4312;6.35;6.38;3.96
0.71;"Ideal";"D";"SI2";61.9;56;2452;5.78;5.73;3.56
1.51;"Good";"H";"SI2";63.1;60;7723;7.23;7.28;4.58
1.5;"Ideal";"H";"SI2";62.4;57;9104;7.29;7.33;4.56
1.02;"Ideal";"F";"VS2";62;57;7026;6.46;6.44;4
0.55;"Very Good";"F";"VS1";60.7;60;1853;5.29;5.32;3.22
0.52;"Premium";"G";"VVS2";61.2;59;2012;5.16;5.14;3.15
0.3;"Very Good";"I";"SI1";61.4;58;394;4.3;4.33;2.65
0.71;"Good";"G";"VS2";64;55;2599;5.65;5.67;3.62
1.04;"Premium";"H";"SI1";60.7;62;5311;6.57;6.51;3.97
1.01;"Good";"I";"SI2";61.8;62;3399;6.28;6.35;3.9
0.36;"Premium";"E";"VS2";62.3;58;1013;4.55;4.51;2.82
1.58;"Good";"H";"SI1";63.1;58;9774;7.33;7.38;4.64
2.01;"Very Good";"J";"SI2";60.6;60;11406;8.11;8.19;4.94
1.51;"Very Good";"G";"VVS2";62.1;59;13337;7.28;7.34;4.54
1.03;"Good";"J";"SI1";63.6;57;2855;6.38;6.29;4.03
0.62;"Ideal";"H";"VVS2";62;56;2052;5.46;5.48;3.39
1.02;"Good";"I";"SI1";64.2;53;3998;6.3;6.26;4.03
1.02;"Premium";"J";"SI1";63;58;3856;6.44;6.39;4.04
0.74;"Premium";"F";"VS2";61.7;58;2805;5.85;5.78;3.59
1.11;"Ideal";"F";"VS2";61.6;57;7740;6.65;6.67;4.1
1.5;"Very Good";"H";"VS1";63.3;59;9173;7.15;7.1;4.51
0.35;"Premium";"F";"VS2";61.9;58;906;4.54;4.48;2.79
1.01;"Premium";"H";"VS2";62.3;62;4769;6.39;6.35;3.97
0.92;"Premium";"D";"SI2";59.4;59;3877;6.39;6.28;3.76
1.59;"Premium";"J";"SI1";62.5;60;7695;7.42;7.46;4.65
0.74;"Ideal";"G";"VVS2";62.2;57;3462;5.75;5.79;3.59
0.54;"Ideal";"D";"VS2";61.8;57;1892;5.22;5.26;3.24
1.5;"Premium";"H";"SI1";59;62;10038;7.39;7.31;4.56
0.41;"Premium";"E";"VVS2";60.9;60;1243;4.82;4.81;2.93
0.55;"Ideal";"E";"VS2";62;55;1715;5.28;5.24;3.26
0.41;"Ideal";"D";"VS2";62.4;55;1076;4.79;4.76;2.98
0.58;"Very Good";"D";"SI2";62.9;56;1438;5.31;5.35;3.35
1.33;"Premium";"H";"VS2";59.9;60;6614;7.13;7.09;4.26
1.56;"Very Good";"H";"VVS2";63.3;58;12098;7.3;7.35;4.64
1.33;"Good";"I";"VS1";63.7;56;7090;6.96;6.92;4.42
0.55;"Very Good";"G";"IF";60.2;60;2314;5.29;5.38;3.21
0.41;"Very Good";"D";"SI2";63.1;54;818;4.75;4.72;2.99
0.3;"Ideal";"J";"VVS2";62.3;58;439;4.26;4.28;2.66
1.25;"Ideal";"G";"VVS1";61.3;56;10996;6.95;6.98;4.28
1.2;"Good";"I";"VS1";57.8;61;5570;7.02;6.96;4.04
1;"Fair";"E";"SI2";65.8;58;2948;6.28;6.16;4.09
0.33;"Premium";"E";"VS1";60.9;58;1002;4.49;4.45;2.72
0.39;"Good";"G";"VS2";63.7;53;734;4.62;4.67;2.96
0.38;"Ideal";"E";"VVS2";59.9;61;1008;4.71;4.74;2.83
0.74;"Premium";"E";"VS1";60.9;62;2999;5.83;5.8;3.54
2.21;"Premium";"H";"SI2";59;59;13872;8.51;8.46;5.01
0.4;"Good";"E";"SI2";63.2;57;666;4.66;4.68;2.95
0.4;"Good";"D";"VS2";64.4;56;814;4.62;4.67;2.99
0.3;"Very Good";"D";"VS1";62;55;863;4.31;4.35;2.68
0.44;"Ideal";"F";"VVS1";61.5;57;1319;4.9;4.86;3
0.33;"Ideal";"I";"VVS1";62.2;54;646;4.43;4.45;2.76
1;"Fair";"E";"SI1";57.4;61;4844;6.53;6.63;3.78
0.31;"Ideal";"F";"VS2";62.8;56;802;4.32;4.28;2.7
0.71;"Very Good";"F";"VS1";62.2;55;3045;5.68;5.74;3.56
0.28;"Very Good";"E";"VVS1";61.1;60;646;4.17;4.21;2.56
2;"Premium";"I";"VS2";62.5;57;17574;8.01;7.92;4.98
0.41;"Premium";"G";"VS2";61.4;59;827;4.75;4.79;2.93
0.38;"Premium";"G";"VS1";61.9;56;1069;4.68;4.63;2.88
1;"Very Good";"E";"VVS2";59.5;59;9139;6.54;6.58;3.9
1.19;"Very Good";"G";"SI2";63.4;56;3739;6.69;6.56;4.2
0.42;"Ideal";"G";"VVS1";60.6;56;1235;4.88;4.86;2.95
0.37;"Premium";"E";"VS2";60.6;58;971;4.65;4.62;2.81
0.9;"Very Good";"F";"SI2";61.6;56;3601;6.22;6.29;3.85
1.22;"Ideal";"H";"VVS2";62.7;54;8014;6.77;6.83;4.27
0.31;"Good";"E";"VVS1";59;59;826;4.4;4.42;2.6
1.3;"Very Good";"G";"VS1";62.5;57;9837;6.92;6.96;4.34
1.24;"Ideal";"I";"SI2";61.8;58;5866;6.85;6.9;4.25
0.34;"Ideal";"I";"VS1";62;54;643;4.51;4.49;2.79
1.71;"Premium";"I";"VS2";61.5;58;9116;7.74;7.54;4.7
1.02;"Ideal";"J";"VS2";62;56;4485;6.42;6.45;3.99
0.79;"Very Good";"F";"SI1";62.8;55;2633;5.88;5.94;3.71
0.31;"Good";"E";"VS1";59;63;600;4.44;4.47;2.63
0.71;"Ideal";"D";"VS2";60.1;56;4029;5.77;5.83;3.48
0.56;"Ideal";"D";"SI1";61.9;55;1803;5.31;5.29;3.28
0.92;"Ideal";"E";"SI2";62.1;57;3941;6.26;6.2;3.87
0.71;"Very Good";"F";"SI2";61.4;56;3075;5.71;5.73;3.51
1.04;"Premium";"E";"SI2";61.6;59;4240;6.57;6.55;4.04
0.8;"Ideal";"E";"SI1";61.5;58;3362;5.96;6;3.68
0.4;"Ideal";"E";"SI2";62.2;53;689;4.73;4.76;2.95
0.7;"Very Good";"J";"VS2";61.1;61;1952;5.64;5.69;3.46
0.41;"Ideal";"E";"VS1";62.1;55;1079;4.75;4.78;2.96
1;"Ideal";"G";"VVS1";61.9;57;8366;6.43;6.39;3.97
0.48;"Good";"F";"VS1";61.5;60.7;1268;4.99;5.05;3.09
0.23;"Very Good";"E";"VVS1";61;58;485;3.99;4.01;2.44
1.61;"Premium";"I";"VS2";58.4;59;9341;7.73;7.68;4.5
0.36;"Premium";"D";"VS2";60.3;58;727;4.63;4.66;2.8
1.51;"Ideal";"I";"SI1";61.8;56;10232;7.37;7.34;4.55
0.33;"Very Good";"D";"SI1";62.8;55;608;4.41;4.45;2.78
0.5;"Good";"D";"SI1";64.1;56;1235;5.03;4.98;3.21
0.91;"Ideal";"I";"VS1";62.1;57;3906;6.2;6.23;3.86
0.31;"Ideal";"F";"VS2";60.8;57;802;4.39;4.36;2.66
1.7;"Premium";"F";"VS2";62.8;58;18251;7.61;7.54;4.76
1.73;"Fair";"H";"SI2";65.9;58;6007;7.52;7.45;4.93
1;"Premium";"F";"SI1";62;60;5574;6.42;6.36;3.96
0.31;"Ideal";"H";"VS2";62.2;53;628;4.43;4.38;2.74
2.13;"Premium";"G";"SI2";60.7;60;16931;8.37;8.27;5.05
0.51;"Ideal";"F";"SI1";62.9;56;1406;5.1;5.05;3.19
0.76;"Fair";"D";"SI2";55.5;69;2518;6.16;6.07;3.39
0.5;"Ideal";"H";"VS2";62.6;52;1408;5.06;5.09;3.18
0.59;"Very Good";"F";"SI1";63;56;1424;5.3;5.34;3.35
1.51;"Good";"I";"VS2";62.9;57;8720;7.23;7.27;4.56
0.23;"Very Good";"E";"VVS2";60.6;60;505;3.93;3.99;2.4
1.16;"Ideal";"D";"VS1";61.2;58;10241;6.73;6.76;4.13
0.3;"Ideal";"E";"VS1";61.5;56;710;4.31;4.37;2.67
0.23;"Very Good";"F";"VVS2";58.1;63;600;4.08;4.04;2.36
1.12;"Premium";"D";"VS2";63;57;7587;6.62;6.55;4.15
0.54;"Ideal";"D";"SI1";60.8;57;1662;5.25;5.31;3.21
1.5;"Very Good";"H";"VS2";60;62;11220;7.38;7.41;4.44
1.01;"Good";"H";"VS2";63.5;61;4959;6.24;6.32;3.99
1.18;"Premium";"G";"SI2";61.4;58;5190;6.82;6.77;4.17
1;"Good";"I";"VS1";63.8;56;4202;6.35;6.32;4.04
0.47;"Ideal";"D";"VS2";61.9;56;1319;4.99;5.03;3.1
1.02;"Fair";"H";"VS1";71.8;56;4455;6.04;5.97;4.31
2.24;"Ideal";"I";"SI2";61.7;58;16709;8.43;8.37;5.18
1.05;"Premium";"D";"SI1";59.3;58;6174;6.74;6.68;3.98
0.6;"Ideal";"F";"VS2";61.9;57;1970;5.39;5.43;3.35
1.5;"Very Good";"I";"VVS2";63.3;58;10090;7.27;7.24;4.59
1.2;"Ideal";"F";"VS2";61.9;53;8669;6.84;6.79;4.22
0.53;"Ideal";"G";"VVS2";61.4;57;1948;5.19;5.26;3.21
0.43;"Very Good";"G";"SI1";62.7;56;754;4.8;4.83;3.02
0.23;"Premium";"D";"VVS2";59.6;61;640;4.03;3.99;2.39
2.02;"Very Good";"J";"SI1";63;56;12267;7.95;8.01;5.03
0.7;"Ideal";"E";"VS1";62.2;58;3107;5.62;5.69;3.52
0.56;"Ideal";"I";"VVS1";62;56;1698;5.29;5.26;3.27
0.38;"Very Good";"G";"VVS1";59.9;56;970;4.73;4.75;2.84
0.8;"Very Good";"D";"VS2";63.1;57;3135;5.94;5.89;3.73
1.07;"Ideal";"E";"SI2";62.4;57;4698;6.55;6.52;4.08
0.6;"Ideal";"E";"VVS1";62.5;53.7;3082;5.35;5.43;3.38
0.4;"Premium";"F";"VVS2";59.4;59;1008;4.85;4.78;2.86
0.4;"Ideal";"G";"IF";61.8;55;1229;4.76;4.79;2.95
0.53;"Ideal";"D";"SI1";61.7;56;1753;5.23;5.15;3.2
1.04;"Ideal";"H";"VS1";62.2;56.6;6255;6.43;6.49;4.02
1.07;"Ideal";"E";"SI2";62.4;57;4613;6.52;6.55;4.08
0.47;"Ideal";"H";"IF";62.4;57;1865;4.97;5;3.11
0.52;"Very Good";"H";"VS1";63.5;58;1572;5.08;5.13;3.24
1.12;"Premium";"I";"VS1";59.6;58;4987;6.82;6.77;4.05
0.36;"Ideal";"D";"VVS2";61.6;57;1042;4.56;4.59;2.82
0.41;"Ideal";"E";"VVS1";61.5;56;1444;4.81;4.82;2.96
0.31;"Premium";"F";"VS2";61.7;58;802;4.38;4.34;2.69
0.36;"Ideal";"E";"VS2";62.6;56;1013;4.56;4.52;2.84
0.24;"Very Good";"E";"VVS2";62.8;58;478;3.92;3.95;2.47
0.9;"Very Good";"F";"SI1";63.3;55;4545;6.18;6.12;3.89
0.32;"Premium";"I";"SI1";62.7;58;432;4.34;4.37;2.73
0.34;"Ideal";"E";"VS1";60.8;57;1033;4.53;4.49;2.74
0.52;"Premium";"I";"SI1";62.9;58;1105;5.14;5.04;3.2
1.21;"Fair";"J";"SI2";64.6;59;3984;6.74;6.64;4.32
0.36;"Ideal";"H";"VS1";61.8;57;631;4.56;4.6;2.83
1.06;"Ideal";"G";"SI2";62.1;58;4987;6.49;6.53;4.04
0.41;"Premium";"E";"VS1";60.6;59;1079;4.77;4.8;2.9
1.26;"Premium";"E";"SI2";62.9;59;6085;6.85;6.82;4.3
2.01;"Ideal";"G";"SI1";61.6;57;12829;8.08;8;4.95
0.91;"Fair";"F";"I1";67;62;1570;5.97;5.89;3.98
0.56;"Very Good";"H";"SI1";59.9;60;1230;5.3;5.35;3.19
1.21;"Premium";"F";"VS1";61.6;59;9107;6.84;6.77;4.19
0.9;"Ideal";"D";"VS2";61.2;56;6689;6.2;6.26;3.81
1.07;"Premium";"H";"VS2";58.9;58;4830;6.7;6.65;3.93
0.41;"Ideal";"F";"VS2";60.8;56;863;4.8;4.81;2.92
0.32;"Ideal";"H";"IF";61.4;55;814;4.42;4.47;2.73
0.54;"Ideal";"F";"SI2";61.2;57;1409;5.25;5.23;3.21
0.57;"Very Good";"G";"SI1";60.4;58;1273;5.37;5.42;3.26
0.36;"Ideal";"G";"VVS1";61.7;55;1163;4.58;4.6;2.83
0.59;"Fair";"I";"VS1";64.4;59;1229;5.29;5.21;3.38
1.16;"Ideal";"H";"SI1";64.2;59;5411;6.66;6.61;4.26
0.58;"Ideal";"G";"VS2";61.2;55;1558;5.4;5.45;3.32
1.2;"Ideal";"D";"VS2";61.4;55;9596;6.87;6.78;4.19
1.27;"Premium";"H";"VS2";60;61;7503;7.03;6.99;4.26
0.31;"Ideal";"I";"IF";62.2;54;652;4.36;4.39;2.72
1.56;"Very Good";"I";"VS1";62.7;58;9857;7.42;7.37;4.64
0.5;"Premium";"G";"VS1";62.5;58;1624;5.07;5.11;3.18
0.36;"Ideal";"G";"VVS2";61.8;55;888;4.57;4.62;2.84
0.32;"Ideal";"D";"VS2";62.7;54;758;4.36;4.38;2.74
0.57;"Premium";"E";"VS2";63;59;1778;5.29;5.25;3.32
1;"Good";"D";"VS2";63.9;56;7200;6.34;6.31;4.04
0.5;"Very Good";"D";"SI1";61.9;62;1354;5.03;5.09;3.13
0.73;"Very Good";"H";"VS1";61.6;59;2641;5.74;5.81;3.56
0.29;"Ideal";"G";"VVS1";60.2;56;673;4.29;4.33;2.59
0.32;"Premium";"G";"SI2";62.7;58;540;4.39;4.35;2.74
1.15;"Good";"H";"VS1";64.3;54;5935;6.66;6.62;4.27
0.41;"Ideal";"F";"VVS2";62.9;54;1192;4.74;4.7;2.97
0.26;"Premium";"E";"VVS1";60.9;59;814;4.12;4.09;2.5
0.36;"Very Good";"G";"SI1";62;59;537;4.53;4.56;2.82
1.02;"Ideal";"G";"SI1";62.8;57;5055;6.38;6.35;4
0.24;"Ideal";"G";"VVS1";62.1;56;559;3.97;4;2.47
1.71;"Ideal";"F";"VS2";61.9;57;16384;7.73;7.62;4.75
0.25;"Premium";"E";"VVS1";60.7;60;576;4.09;4.11;2.49
0.61;"Ideal";"G";"VS1";61.9;56;2167;5.43;5.45;3.37
0.43;"Ideal";"D";"SI1";61.6;56;1036;4.86;4.82;2.98
1.51;"Very Good";"I";"VVS1";62;58;11512;7.27;7.31;4.52
1.01;"Premium";"D";"SI1";61.8;58;6075;6.42;6.37;3.95
0.5;"Premium";"F";"VS1";61.8;60;1710;5.06;5.1;3.14
0.41;"Ideal";"F";"VS1";60.8;57;1007;4.77;4.8;2.91
0.77;"Ideal";"D";"SI1";60.8;57;3251;5.94;5.9;3.6
1.05;"Ideal";"J";"VS1";60.6;56;3528;6.59;6.55;3.98
1.03;"Ideal";"F";"VS2";62.4;56;6751;6.48;6.43;4.03
1.01;"Ideal";"I";"I1";61.6;56;2416;6.45;6.43;3.97
1.11;"Very Good";"E";"VS1";61.6;57;8852;6.59;6.63;4.07
0.4;"Very Good";"G";"VVS2";58.9;58;982;4.8;4.84;2.84
1.1;"Very Good";"H";"SI2";62.9;58;4422;6.53;6.56;4.12
1.01;"Very Good";"H";"SI1";63.5;57;4659;6.31;6.35;4.02
0.52;"Very Good";"G";"VVS2";59.9;56;1833;5.22;5.27;3.14
1.6;"Premium";"H";"SI1";62.1;60;9017;7.54;7.49;4.66
0.5;"Good";"D";"SI2";63.1;56;958;5.05;4.96;3.16
1;"Premium";"E";"SI1";60.7;59;5544;6.41;6.38;3.88
1.7;"Ideal";"H";"I1";62.6;54;7197;7.63;7.58;4.77
1.05;"Premium";"D";"SI1";61.6;61;5351;6.55;6.5;4.02
1.52;"Premium";"I";"VS2";62.6;59;9108;7.34;7.19;4.55
1;"Premium";"H";"SI2";61;61;3864;6.31;6.27;3.84
0.76;"Good";"G";"SI1";57.7;63;2447;6.05;5.97;3.47
0.42;"Ideal";"H";"SI1";62.4;57;898;4.79;4.76;2.98
0.43;"Very Good";"H";"VVS1";60.2;55;1220;4.92;4.95;2.97
0.73;"Very Good";"F";"VS1";61.8;59;2843;5.73;5.79;3.56
0.58;"Premium";"G";"VVS2";61.4;61;1975;5.43;5.38;3.32
2.02;"Ideal";"I";"SI1";62.4;56;16128;8.07;8.11;5.05
1.02;"Ideal";"F";"SI2";61.8;57;4832;6.49;6.43;3.99
1.01;"Ideal";"D";"SI1";62;55;5702;6.39;6.45;3.98
0.53;"Premium";"E";"VS2";59.9;61;1946;5.3;5.25;3.16
0.35;"Premium";"E";"IF";59;61;1148;4.64;4.62;2.73
1.52;"Very Good";"D";"SI2";61.2;63;9030;7.39;7.31;4.5
0.69;"Good";"I";"VS1";61.6;61.9;1846;5.65;5.68;3.48
0.42;"Very Good";"E";"SI1";62.5;55;773;4.8;4.83;3.01
2;"Very Good";"G";"SI2";63.5;55;15485;8.03;7.93;5.07
1.13;"Ideal";"E";"SI2";62.4;56;4303;6.66;6.63;4.15
0.3;"Ideal";"F";"VS1";61.4;56;658;4.33;4.37;2.67
0.39;"Ideal";"E";"VS1";59.9;57;889;4.78;4.8;2.87
0.3;"Good";"G";"VVS2";63.2;57;684;4.23;4.28;2.69
0.41;"Ideal";"G";"IF";61.7;56;1367;4.77;4.8;2.95
1.07;"Ideal";"F";"VS2";61.7;57;8640;6.52;6.54;4.03
1.01;"Ideal";"G";"VS2";60.8;59;6019;6.52;6.5;3.96
0.32;"Ideal";"I";"VS2";61.5;56;449;4.4;4.41;2.71
0.7;"Premium";"E";"SI2";62.1;59;2273;5.65;5.63;3.5
0.65;"Very Good";"G";"SI1";62;58;1828;5.5;5.58;3.43
2.01;"Premium";"H";"SI1";60.6;62;16733;8.08;8.05;4.89
0.8;"Ideal";"D";"VS2";61;57;4170;5.96;6;3.65
2.55;"Premium";"I";"VS1";61.8;62;18766;8.7;8.65;5.36
1.1;"Very Good";"H";"VS2";61.3;58;5914;6.63;6.74;4.1
0.3;"Premium";"D";"VS2";60.6;58;911;4.36;4.32;2.63
1.01;"Fair";"D";"SI1";66;57;5385;6.29;6.22;4.13
1.1;"Good";"H";"SI1";63.6;58;5131;6.55;6.5;4.15
0.8;"Very Good";"H";"SI2";62.7;57;2294;5.88;5.95;3.71
1.05;"Ideal";"G";"VS2";61.9;57;6562;6.47;6.51;4.03
0.4;"Premium";"F";"SI1";62.2;57;945;4.72;4.67;2.92
0.71;"Ideal";"D";"SI1";60.9;57;3262;5.75;5.79;3.51
1.28;"Ideal";"G";"I1";61.6;57;4428;6.93;6.96;4.28
1.05;"Ideal";"F";"VVS2";61.5;57;9138;6.51;6.57;4.02
0.37;"Premium";"D";"SI1";62.7;58;874;4.58;4.55;2.86
1.1;"Ideal";"J";"SI2";60.1;57;4624;6.77;6.74;4.06
1;"Premium";"F";"SI1";62.3;59;5292;6.43;6.37;3.99
1.09;"Very Good";"D";"SI2";59.2;63;4322;6.71;6.67;3.96
0.57;"Ideal";"G";"VVS2";61.7;56;2095;5.3;5.33;3.28
1.17;"Very Good";"H";"SI1";63.1;56;4652;6.76;6.71;4.25
0.53;"Very Good";"J";"VS1";61.4;56;1106;5.19;5.23;3.2
0.5;"Premium";"E";"SI2";61;62;1097;5.13;5.09;3.12
0.31;"Ideal";"D";"VS2";62.7;57;942;4.34;4.3;2.71
0.35;"Ideal";"I";"VS2";59.8;57;491;4.59;4.6;2.75
1.01;"Premium";"F";"SI2";61.7;60;4616;6.42;6.36;3.94
0.87;"Ideal";"E";"SI2";60.4;58;3566;6.19;6.23;3.75
0.44;"Very Good";"E";"VVS2";60.7;57;1274;4.9;4.92;2.98
0.5;"Premium";"F";"SI2";59.9;60;1125;5.22;5.16;3.11
2.02;"Premium";"G";"SI2";63;59;15014;8.05;7.95;5.03
1.01;"Premium";"G";"VS1";60.9;58;6759;6.43;6.47;3.93
0.3;"Good";"J";"VS1";63.6;52;506;4.29;4.27;2.72
0.51;"Ideal";"G";"VS1";60.2;56;1632;5.18;5.24;3.14
0.31;"Very Good";"F";"VVS1";60.7;58;767;4.36;4.4;2.66
0.32;"Ideal";"D";"VS2";62.6;55;758;4.37;4.39;2.74
0.64;"Good";"F";"IF";58.6;61;2980;5.69;5.71;3.34
1.01;"Premium";"F";"VS2";62.2;60;6416;6.37;6.4;3.97
0.7;"Premium";"I";"SI2";63;56;1715;5.71;5.63;3.57
1.22;"Premium";"H";"SI2";60.2;56;5466;6.96;6.93;4.18
1.06;"Premium";"I";"SI1";61.9;57;4452;6.61;6.51;4.06
0.24;"Very Good";"F";"VVS1";59.4;60;478;4.04;4.08;2.41
0.54;"Ideal";"F";"VS2";59.8;58;1680;5.29;5.34;3.18
0.9;"Very Good";"E";"SI2";61.6;58;3715;6.18;6.23;3.82
0.32;"Ideal";"G";"VS2";61.6;57;720;4.41;4.39;2.71
0.32;"Ideal";"G";"VS2";61.4;57;561;4.39;4.4;2.7
1.08;"Ideal";"G";"SI2";61.3;57;5057;6.55;6.64;4.04
0.25;"Premium";"E";"VS1";61.5;60;435;4.02;4.04;2.48
0.41;"Very Good";"E";"VS1";62.2;58;954;4.74;4.78;2.96
1.1;"Ideal";"F";"VS2";61.4;56;7453;6.64;6.68;4.09
1.03;"Very Good";"F";"VS2";62.3;59;6153;6.39;6.45;4
1.5;"Good";"E";"SI2";63.9;58;8910;7.21;7.26;4.62
1.61;"Ideal";"E";"SI2";61.6;56;9961;7.54;7.62;4.67
0.42;"Premium";"F";"VS1";61.9;55;1103;4.82;4.78;2.97
0.33;"Ideal";"D";"VS1";61.7;55;739;4.47;4.48;2.76
