"carat";"cut";"color";"clarity";"depth";"table";"price";"x";"y";"z"
1.51;"Good";"G";"VS1";64;57;12319;7.31;7.2;4.64
0.72;"Ideal";"I";"VVS2";61;57;2602;5.81;5.84;3.55
0.31;"Ideal";"E";"SI2";61.7;56;435;4.35;4.4;2.7
0.32;"Premium";"G";"VVS1";60.9;61;1080;4.4;4.37;2.67
0.9;"Very Good";"I";"VS2";62.4;58;3398;6.12;6.16;3.83
0.32;"Ideal";"G";"VS2";62.4;55;524;4.36;4.39;2.73
0.51;"Very Good";"G";"VS1";62.7;58;1599;5.05;5.09;3.18
1.29;"Premium";"G";"SI2";62;58;5996;7.03;6.97;4.34
0.7;"Good";"D";"VS2";63.9;58;3033;5.62;5.58;3.58
0.45;"Premium";"F";"SI1";61.1;58;1046;4.97;4.95;3.03
0.71;"Very Good";"I";"SI1";60.2;58;2063;5.76;5.83;3.49
0.31;"Premium";"E";"SI1";62.7;58;605;4.35;4.32;2.72
1.22;"Premium";"I";"SI2";61.5;61;4735;6.89;6.83;4.22
0.3;"Premium";"G";"VVS2";62;60;684;4.25;4.33;2.66
0.9;"Very Good";"G";"SI1";63.6;57;3718;6.07;6.13;3.88
1;"Premium";"F";"SI1";61.8;58;5151;6.44;6.37;3.96
0.3;"Ideal";"G";"SI1";60.6;57;487;4.34;4.37;2.63
0.54;"Very Good";"D";"VS2";60.7;57;2113;5.24;5.29;3.2
1;"Ideal";"J";"VS1";62.3;56;4032;6.43;6.38;3.99
0.4;"Ideal";"G";"VS1";60.7;57;877;4.77;4.78;2.9
0.34;"Ideal";"G";"IF";61.2;56;974;4.53;4.55;2.78
0.72;"Ideal";"F";"VS1";60.7;57;3759;5.79;5.87;3.54
0.3;"Premium";"F";"VS2";62.8;58;776;4.28;4.25;2.68
0.6;"Premium";"F";"SI2";58.9;59;1378;5.55;5.52;3.26
1.99;"Premium";"G";"SI2";59.1;61;11486;8.08;8.05;4.77
0.28;"Ideal";"H";"VS1";61.8;57;497;4.2;4.22;2.6
0.33;"Premium";"E";"VS1";60.9;58;781;4.45;4.49;2.72
0.75;"Premium";"F";"VS2";61.6;58;3013;5.84;5.89;3.61
1.35;"Premium";"G";"SI1";62.4;58;5799;7.07;6.97;4.38
0.32;"Ideal";"G";"IF";61.5;55;905;4.4;4.42;2.71
1;"Good";"G";"SI1";63.9;58;4218;6.26;6.32;4.02
0.76;"Ideal";"H";"SI1";62.4;55;2371;5.87;5.83;3.65
1.07;"Ideal";"F";"VS2";61;54;7564;6.59;6.62;4.03
1.19;"Ideal";"E";"SI1";61.3;57;6911;6.81;6.83;4.18
0.51;"Premium";"D";"VS2";62;60;1807;5.12;5.07;3.16
2.02;"Very Good";"F";"SI1";60.1;60;17658;8.21;8.29;4.96
0.73;"Ideal";"D";"VS1";61.1;57;3509;5.85;5.81;3.56
1.07;"Very Good";"H";"SI2";61.8;63;3296;6.57;6.47;4.03
1.52;"Premium";"F";"VS1";61;58;15522;7.42;7.39;4.52
1.43;"Ideal";"J";"SI1";62.1;58;6546;7.23;7.16;4.47
0.4;"Ideal";"J";"SI1";61.4;55;612;4.75;4.8;2.93
0.61;"Good";"F";"VS2";63;64.2;1971;5.29;5.32;3.34
0.32;"Ideal";"E";"VS1";61.6;57;758;4.35;4.39;2.69
1.44;"Premium";"E";"I1";61.1;62;5161;7.23;7.15;4.39
0.56;"Ideal";"D";"SI1";62.3;56;1814;5.33;5.26;3.3
1.28;"Ideal";"G";"VVS2";61.2;54;10839;7.03;7.06;4.31
0.58;"Ideal";"D";"SI2";61.2;57;1442;5.4;5.36;3.29
0.29;"Ideal";"E";"IF";61.9;57;815;4.25;4.29;2.64
0.7;"Premium";"G";"SI1";59.9;58;2016;5.8;5.68;3.44
0.34;"Ideal";"G";"IF";61.7;55;1084;4.5;4.48;2.77
1.54;"Fair";"E";"SI1";64.7;56;12581;7.28;7.22;4.69
0.72;"Good";"H";"SI1";63.7;59;2277;5.63;5.68;3.6
1.01;"Ideal";"F";"VVS2";61.8;56;8688;6.49;6.46;4
0.53;"Premium";"G";"VS2";62;58;1607;5.21;5.18;3.22
2.39;"Premium";"H";"SI1";60.6;58;16687;8.65;8.58;5.22
0.38;"Premium";"F";"VS1";60.9;58;933;4.68;4.71;2.86
1;"Very Good";"D";"SI1";62.1;58;5390;6.34;6.45;3.97
2.2;"Premium";"J";"VS1";61.7;59;15064;8.3;8.34;5.13
0.42;"Very Good";"G";"VS2";60.1;61;847;4.81;4.84;2.9
1.2;"Very Good";"G";"SI2";62.9;54;5321;6.76;6.79;4.26
0.32;"Ideal";"E";"VS2";61.7;56;639;4.39;4.43;2.72
0.31;"Premium";"G";"VVS1";62.2;59;1046;4.32;4.3;2.68
0.31;"Good";"D";"SI2";63.9;57;462;4.28;4.33;2.75
1.11;"Very Good";"H";"SI2";59;59;4584;6.79;6.82;4.02
0.41;"Ideal";"F";"VVS2";61.2;56;1323;4.78;4.82;2.94
0.32;"Ideal";"G";"VVS1";61.4;57;814;4.42;4.44;2.72
1.5;"Very Good";"H";"VS1";63.4;59;10652;7.13;7.2;4.54
0.32;"Premium";"G";"SI1";62;55;612;4.43;4.41;2.74
1.01;"Good";"F";"VS1";61.8;57;6626;6.34;6.44;3.95
0.3;"Ideal";"F";"IF";60.9;57;873;4.35;4.38;2.66
1.02;"Very Good";"D";"SI2";62.8;55;4964;6.38;6.46;4.03
0.41;"Ideal";"H";"IF";61.8;55;1100;4.79;4.82;2.97
1.27;"Ideal";"J";"SI2";61.2;56;5021;6.99;6.95;4.27
0.31;"Ideal";"H";"VS1";62.6;55;698;4.35;4.31;2.71
0.31;"Ideal";"D";"SI1";62.4;53;732;4.35;4.33;2.71
0.57;"Ideal";"D";"VS2";61.7;57;1865;5.3;5.33;3.28
1;"Good";"G";"SI1";63.9;60;4737;6.22;6.27;3.99
0.54;"Very Good";"F";"VVS2";60.2;59;2198;5.27;5.3;3.18
1;"Very Good";"D";"SI2";59.4;60;4543;6.48;6.56;3.87
0.32;"Very Good";"D";"SI1";63.3;57;756;4.38;4.37;2.77
1.24;"Premium";"G";"VS1";62;55;8449;6.95;6.89;4.29
0.38;"Ideal";"F";"IF";62.2;54;1218;4.65;4.68;2.9
0.75;"Ideal";"D";"SI2";62.2;55;2757;5.83;5.87;3.64
0.64;"Good";"D";"SI1";57.7;57;1838;5.69;5.75;3.3
0.3;"Very Good";"H";"SI1";63.4;57;540;4.31;4.27;2.72
1.01;"Very Good";"I";"SI1";60.9;59;4207;6.39;6.45;3.91
0.44;"Ideal";"H";"IF";62;57;1255;4.87;4.91;3.02
0.32;"Ideal";"I";"VS2";63;56;576;4.42;4.38;2.77
0.34;"Premium";"D";"VS2";59.3;59;687;4.55;4.59;2.71
0.56;"Very Good";"J";"SI1";60.3;59;957;5.3;5.34;3.21
1.09;"Premium";"G";"VS1";60.2;61;7422;6.71;6.64;4.02
1.51;"Premium";"G";"VS2";59.2;61;12229;7.48;7.44;4.42
1.16;"Premium";"F";"SI2";61.2;61;4820;6.77;6.74;4.14
0.69;"Ideal";"F";"SI1";61.3;55;2459;5.72;5.74;3.51
0.7;"Very Good";"G";"SI1";63.3;57;2088;5.58;5.63;3.55
1.22;"Ideal";"F";"SI1";62.8;55;6456;6.87;6.79;4.29
0.55;"Very Good";"I";"VS2";58.5;62.2;1235;5.39;5.4;3.16
0.57;"Ideal";"F";"VS2";61.6;55;1737;5.35;5.37;3.3
0.74;"Good";"F";"SI2";59.3;61;2190;5.87;5.97;3.51
0.62;"Fair";"F";"SI1";55.1;66;1641;5.85;5.7;3.18
1.27;"Very Good";"J";"SI1";60.9;59;5224;6.96;7.04;4.26
0.33;"Very Good";"G";"VVS2";63;56;672;4.42;4.47;2.8
0.3;"Ideal";"G";"VVS2";61.1;58;638;4.33;4.35;2.65
0.32;"Premium";"G";"VS1";59.2;59;828;4.47;4.45;2.64
0.7;"Ideal";"J";"SI2";61.6;57;1826;5.68;5.65;3.49
0.7;"Very Good";"F";"VVS1";60.6;60;3536;5.67;5.7;3.45
2.23;"Very Good";"J";"SI2";60.5;61;12655;8.4;8.47;5.1
0.27;"Ideal";"E";"VVS2";62.2;55;799;4.17;4.12;2.58
0.56;"Ideal";"G";"IF";61.8;56;2442;5.28;5.34;3.28
0.47;"Ideal";"J";"SI1";60.6;54;983;5.04;5;3.09
0.34;"Ideal";"D";"VS2";62.1;55;805;4.46;4.49;2.78
0.49;"Premium";"E";"SI2";61.7;57;949;5.08;5.06;3.13
0.55;"Ideal";"D";"VS2";58.5;58;2079;5.42;5.39;3.16
0.75;"Very Good";"F";"SI1";63.7;58;2693;5.73;5.77;3.66
0.32;"Ideal";"F";"VVS1";61;56;828;4.42;4.47;2.71
0.42;"Ideal";"I";"VVS1";62.4;57;945;4.83;4.79;3
0.42;"Premium";"G";"VVS1";60.2;59;1179;4.82;4.84;2.91
1;"Premium";"D";"SI1";60.3;59;5775;6.44;6.47;3.89
0.73;"Ideal";"H";"VVS2";61.6;56;2846;5.79;5.84;3.58
0.7;"Very Good";"H";"SI1";62;60;2048;5.65;5.7;3.52
0.51;"Ideal";"H";"VS2";60.1;60;1428;5.19;5.14;3.1
0.7;"Ideal";"F";"SI2";65;53;2394;5.61;5.56;3.63
0.33;"Ideal";"F";"VS2";61.9;55;666;4.43;4.46;2.75
0.9;"Ideal";"E";"VS2";62;59;5439;6.17;6.21;3.84
1.56;"Good";"H";"SI2";59.2;59;7554;7.46;7.54;4.44
1;"Premium";"G";"VS2";62.1;58;5242;6.43;6.39;3.98
0.36;"Ideal";"F";"VS2";62;55;932;4.58;4.55;2.83
0.4;"Ideal";"G";"IF";62;56;1229;4.73;4.76;2.94
1.87;"Premium";"E";"SI1";61.9;58;16232;7.94;7.88;4.9
1.5;"Good";"H";"VS2";61.2;61;10291;7.25;7.32;4.46
0.52;"Ideal";"G";"VS2";61.2;56;1586;5.16;5.2;3.17
1;"Very Good";"F";"SI2";62.6;59;4901;6.34;6.38;3.98
1.01;"Very Good";"H";"SI1";63.1;59;4836;6.36;6.32;4
0.34;"Very Good";"D";"SI1";60.2;60;626;4.5;4.54;2.72
0.74;"Ideal";"I";"VS1";60.7;55;2609;5.84;5.88;3.56
0.76;"Ideal";"F";"VS2";61.9;57;3648;5.83;5.86;3.62
0.51;"Ideal";"D";"SI1";62.9;57;1574;5.12;5.09;3.21
0.34;"Premium";"I";"VVS1";62.6;58;626;4.45;4.47;2.79
0.43;"Ideal";"J";"IF";62.4;56;890;4.84;4.87;3.03
1.12;"Premium";"F";"VVS2";62.4;59;10211;6.66;6.58;4.13
0.31;"Premium";"F";"VS2";61.6;58;625;4.35;4.38;2.69
0.79;"Ideal";"D";"SI1";61.2;57;3605;5.94;5.98;3.65
0.9;"Premium";"G";"VVS2";63;58;4486;6.15;6.07;3.85
1.2;"Very Good";"I";"VS1";62.4;56;6167;6.78;6.74;4.22
0.53;"Ideal";"H";"VS2";61.7;54;1604;5.23;5.2;3.22
1.01;"Good";"F";"VS2";61.7;58;6288;6.3;6.34;3.9
0.7;"Very Good";"E";"SI1";61.9;60;2496;5.6;5.67;3.49
0.73;"Ideal";"D";"SI2";62.4;56;2683;5.74;5.77;3.59
0.5;"Premium";"E";"VS2";61.8;59;1629;5.12;5.08;3.15
0.59;"Ideal";"F";"SI2";59.5;57;1221;5.5;5.54;3.28
1.76;"Premium";"E";"SI1";60.5;58;15805;7.93;7.84;4.77
1.01;"Premium";"F";"SI2";62.6;60;4497;6.37;6.35;3.98
0.56;"Ideal";"I";"VS2";62.2;57;1417;5.27;5.28;3.28
1.55;"Ideal";"E";"SI2";62.3;55;6901;7.44;7.37;4.61
1.56;"Very Good";"I";"SI1";61.3;57;9494;7.48;7.54;4.6
0.27;"Ideal";"H";"VVS2";62.2;56;527;4.15;4.18;2.59
0.51;"Ideal";"F";"VS2";62.6;55;1875;5.15;5.1;3.21
0.56;"Premium";"E";"VS1";62.6;58;1930;5.23;5.28;3.29
1.52;"Ideal";"I";"VS1";61.8;55;10851;7.38;7.41;4.57
0.57;"Premium";"I";"VVS1";62.1;58;1608;5.25;5.32;3.28
0.34;"Premium";"F";"SI2";60;58;447;4.55;4.58;2.74
0.52;"Ideal";"D";"VS1";61;56;2010;5.2;5.23;3.18
1.32;"Good";"J";"SI1";63.5;57;4573;6.95;6.98;4.42
0.31;"Very Good";"H";"VVS1";63;58;707;4.33;4.37;2.74
1.1;"Good";"G";"SI2";64.2;56;4084;6.55;6.51;4.19
1.08;"Ideal";"H";"SI1";60.6;59;5756;6.61;6.65;4.02
0.39;"Ideal";"H";"VS2";62.3;55;707;4.67;4.7;2.92
2.17;"Very Good";"H";"SI2";58.8;62;14625;8.48;8.53;5
0.32;"Premium";"G";"VS1";62.8;58;828;4.39;4.34;2.74
0.49;"Premium";"F";"VS2";59.2;57;1261;5.21;5.16;3.07
0.41;"Ideal";"F";"VVS1";60.3;56;1295;4.8;4.85;2.91
0.4;"Premium";"F";"VS2";61;58;842;4.72;4.79;2.9
0.32;"Ideal";"G";"VS1";61.2;56;645;4.39;4.43;2.7
0.3;"Good";"H";"SI1";63.7;57;432;4.26;4.28;2.72
0.59;"Very Good";"E";"SI1";61.3;58;1748;5.41;5.45;3.33
0.3;"Ideal";"F";"VVS1";62.2;57;814;4.28;4.31;2.67
0.34;"Ideal";"E";"VS1";62.1;56;805;4.48;4.5;2.79
0.31;"Ideal";"D";"VS2";61.9;56;734;4.37;4.38;2.71
0.5;"Ideal";"H";"VS2";62.3;54;1279;5.11;5.13;3.19
0.4;"Good";"E";"SI2";63.9;57;622;4.65;4.71;2.99
0.36;"Ideal";"F";"SI1";59.7;57;644;4.69;4.72;2.81
1.51;"Fair";"H";"SI2";65.4;60;6291;7.06;6.96;4.6
0.71;"Ideal";"H";"VS1";62.2;57;2559;5.66;5.73;3.54
0.3;"Ideal";"H";"IF";60.8;56;1013;4.37;4.35;2.65
1.01;"Premium";"G";"SI1";62.7;59;4808;6.41;6.35;4
0.41;"Premium";"E";"SI1";62.8;58;904;4.77;4.72;2.98
0.37;"Premium";"F";"VS2";62.7;58;746;4.55;4.58;2.86
0.5;"Good";"G";"VVS2";64.1;56;1791;5.06;5.02;3.23
0.7;"Ideal";"D";"SI2";62;57;2415;5.68;5.65;3.51
0.72;"Premium";"E";"VS2";60.3;59;2822;5.84;5.8;3.51
0.33;"Premium";"E";"VVS2";61.3;59;741;4.44;4.47;2.73
0.4;"Premium";"D";"VS2";62.5;59;982;4.66;4.72;2.93
1.64;"Premium";"I";"SI2";61.3;58;8743;7.62;7.58;4.66
0.91;"Good";"G";"VS1";63.6;60;4209;6.11;6.03;3.86
0.72;"Ideal";"G";"VS1";61.6;56;3478;5.75;5.78;3.55
0.4;"Ideal";"E";"VVS2";62.1;56;1238;4.73;4.7;2.93
1.5;"Premium";"F";"VS2";61.3;61;14372;7.36;7.33;4.5
1.12;"Premium";"D";"SI2";58.2;60;5107;6.9;6.81;3.99
0.3;"Premium";"G";"VS1";61.2;59;776;4.32;4.28;2.63
1.11;"Premium";"E";"SI1";61.3;58;5908;6.66;6.61;4.07
0.41;"Ideal";"G";"VVS1";61.8;55;1230;4.78;4.76;2.95
0.72;"Ideal";"G";"VS2";61.5;55;2952;5.76;5.79;3.55
1.55;"Premium";"J";"SI1";62.5;58;7502;7.36;7.4;4.61
1.07;"Ideal";"G";"VS1";62.2;56;7748;6.53;6.56;4.07
0.3;"Premium";"F";"VVS2";62.4;58;945;4.28;4.25;2.66
1.12;"Premium";"H";"VS2";60.6;59;6052;6.77;6.7;4.08
0.33;"Very Good";"I";"SI1";62.8;58;445;4.39;4.43;2.77
0.34;"Ideal";"F";"VS2";62.5;55;686;4.48;4.51;2.81
0.7;"Very Good";"G";"VVS2";61;59;3039;5.67;5.7;3.47
1.03;"Very Good";"H";"SI2";61.3;56;4745;6.5;6.53;3.99
0.25;"Very Good";"E";"VVS2";63;57;575;4;4.06;2.54
1.06;"Premium";"G";"VVS2";59.6;58;8149;6.65;6.61;3.95
0.96;"Ideal";"G";"SI2";62.1;57;3871;6.32;6.27;3.91
0.3;"Very Good";"G";"SI1";59.5;63;574;4.32;4.29;2.56
0.3;"Ideal";"G";"VS2";63;55;675;4.31;4.29;2.71
2.01;"Premium";"I";"VS2";60.3;58;17826;8.22;8.16;4.94
2.2;"Ideal";"I";"VS1";61.4;57;15092;8.41;8.37;5.15
0.7;"Ideal";"F";"SI1";61.5;56;2348;5.74;5.7;3.52
1.54;"Ideal";"F";"VS2";61.8;56;17240;7.36;7.39;4.56
0.42;"Ideal";"E";"VS1";60.9;57;1372;4.83;4.86;2.95
0.9;"Good";"E";"SI2";62.1;63;3724;6.09;6.12;3.79
1.07;"Ideal";"F";"VVS2";60.3;55;10093;6.65;6.68;4.02
0.35;"Premium";"D";"SI1";60.2;57;827;4.61;4.56;2.76
2.06;"Premium";"I";"SI1";60.8;60;15716;8.25;8.16;4.99
0.88;"Ideal";"H";"SI1";61.6;56;3557;6.13;6.17;3.79
1.02;"Ideal";"H";"SI2";59.8;58;4742;6.55;6.59;3.93
0.5;"Premium";"E";"SI1";61.4;62;1238;5.1;5.07;3.12
0.3;"Very Good";"G";"VS1";61.4;58;605;4.32;4.35;2.66
0.32;"Premium";"H";"VS2";60.5;59;505;4.39;4.43;2.67
0.71;"Ideal";"D";"VS2";62.1;56;3321;5.71;5.75;3.56
0.26;"Very Good";"G";"VVS2";62.3;56;486;4.07;4.09;2.54
0.3;"Ideal";"E";"SI1";62.9;57;675;4.3;4.25;2.69
0.71;"Very Good";"E";"VS2";63.3;59;2922;5.62;5.66;3.57
0.71;"Ideal";"F";"VVS2";61.2;55;3705;5.73;5.84;3.54
1.12;"Ideal";"G";"SI1";62;55;5551;6.68;6.65;4.13
0.53;"Ideal";"H";"VS1";61.8;56;1678;5.22;5.26;3.24
1.5;"Premium";"E";"VS2";59.4;62;12587;7.48;7.4;4.42
0.41;"Premium";"G";"VS2";59.9;59;1061;4.86;4.82;2.9
0.5;"Fair";"F";"VS1";62.9;68;1348;5.02;4.96;3.14
0.3;"Ideal";"D";"VS2";61.6;57;911;4.33;4.3;2.66
1.08;"Very Good";"G";"SI2";63.2;57;4318;6.54;6.5;4.12
1.23;"Ideal";"I";"SI2";62.3;55;4773;6.85;6.82;4.26
1.54;"Premium";"D";"SI1";63;59;13316;7.35;7.31;4.62
0.32;"Very Good";"D";"SI1";63.5;55;756;4.35;4.31;2.75
1.47;"Premium";"H";"SI2";59.3;59;7573;7.39;7.34;4.37
0.32;"Ideal";"I";"VVS1";61.7;55;756;4.4;4.39;2.71
1;"Good";"F";"VS2";63.4;56;5505;6.27;6.35;4
1.51;"Very Good";"I";"VS1";61.8;63;9640;7.34;7.28;4.52
0.9;"Ideal";"H";"SI1";61.6;56;4740;6.17;6.23;3.82
0.4;"Good";"E";"VS1";63.8;57;1138;4.72;4.69;3
1.01;"Very Good";"I";"SI1";64.4;54;4805;6.31;6.4;4.09
0.71;"Ideal";"E";"SI1";61.7;56;2704;5.72;5.69;3.52
0.41;"Premium";"G";"VS2";60.8;59;827;4.78;4.8;2.91
0.31;"Premium";"H";"VVS2";60.6;60;625;4.34;4.38;2.64
1.05;"Premium";"J";"SI2";60.9;60;3457;6.59;6.51;3.99
1.2;"Very Good";"G";"SI1";63.2;59;5665;6.77;6.74;4.27
0.51;"Ideal";"E";"VS2";62.6;55;1656;5.08;5.11;3.19
0.39;"Ideal";"F";"VVS1";62.1;55;1124;4.69;4.71;2.92
0.96;"Fair";"E";"SI2";53.1;63;2815;6.73;6.65;3.55
0.31;"Ideal";"H";"IF";61.4;57;772;4.36;4.39;2.68
1.51;"Very Good";"J";"SI1";62.4;58;7136;7.27;7.32;4.55
1.09;"Ideal";"E";"IF";60.1;58;15193;6.68;6.72;4.03
0.33;"Ideal";"G";"VS1";62.3;54;666;4.45;4.48;2.78
0.45;"Premium";"F";"SI2";62.6;57;996;4.94;4.87;3.07
0.42;"Ideal";"D";"SI1";61.9;56;1040;4.84;4.82;2.99
0.48;"Very Good";"F";"VVS1";62.3;55;1914;5.02;5.05;3.13
0.55;"Very Good";"I";"SI2";63.1;58;1041;5.15;5.19;3.26
0.35;"Ideal";"G";"VS1";62.1;56;906;4.56;4.52;2.82
0.4;"Very Good";"F";"VS1";60.4;61;982;4.74;4.77;2.87
0.53;"Ideal";"E";"VS2";61.4;56;1721;5.21;5.24;3.21
1.1;"Premium";"G";"VS2";60.2;58;6653;6.75;6.71;4.05
0.27;"Premium";"E";"VVS2";59;59;799;4.27;4.24;2.51
0.3;"Ideal";"F";"VVS1";61.9;56;814;4.3;4.33;2.67
0.66;"Ideal";"H";"SI1";60.9;55;1780;5.63;5.7;3.45
0.27;"Very Good";"E";"VVS2";60.5;60;544;4.19;4.2;2.54
0.5;"Very Good";"H";"SI1";63.5;56;1089;5.01;5.04;3.19
0.91;"Very Good";"F";"SI1";62.3;60;4049;6.08;6.15;3.81
0.73;"Ideal";"F";"VS2";62.7;53;2762;5.8;5.75;3.62
0.42;"Very Good";"G";"VS2";60.1;61;847;4.79;4.86;2.9
0.38;"Very Good";"E";"VVS2";59.7;63;1157;4.71;4.73;2.82
0.9;"Ideal";"G";"VVS2";61.9;56;5335;6.15;6.22;3.83
1.04;"Ideal";"G";"VS2";61.8;56;6290;6.5;6.47;4.01
0.43;"Very Good";"I";"VVS2";62.8;58;850;4.8;4.82;3.02
0.43;"Ideal";"G";"SI1";61.7;55;818;4.89;4.87;3.01
0.97;"Fair";"J";"SI2";60.8;67;2538;6.41;6.32;3.87
1.6;"Ideal";"H";"IF";61.5;53;16300;7.57;7.69;4.66
2.14;"Premium";"G";"SI2";60.7;59;13540;8.37;8.31;5.06
0.72;"Ideal";"G";"VVS2";61.2;57;3352;5.76;5.77;3.53
0.34;"Very Good";"I";"VVS2";63.1;56;765;4.47;4.43;2.81
0.23;"Ideal";"E";"VVS2";62.8;57;530;3.91;3.96;2.47
0.26;"Very Good";"E";"VVS2";61.7;60;599;4.11;4.12;2.54
0.29;"Ideal";"H";"IF";62.1;55;607;4.26;4.29;2.65
1.01;"Ideal";"D";"SI1";62.4;54;5147;6.52;6.38;4.03
0.41;"Ideal";"G";"VVS1";61.7;55;1151;4.77;4.79;2.95
0.31;"Very Good";"F";"VS1";60.9;56;675;4.37;4.38;2.66
1.62;"Ideal";"F";"SI1";62.7;56;12828;7.5;7.44;4.68
2.01;"Fair";"G";"SI2";63.8;59;14799;7.77;7.87;4.99
0.31;"Ideal";"E";"VVS2";61.4;57;791;4.37;4.39;2.69
0.41;"Premium";"I";"VVS2";62.4;60;1061;4.73;4.7;2.94
1.01;"Ideal";"D";"VVS2";61.7;57;10761;6.43;6.47;3.98
0.32;"Ideal";"F";"VVS2";62.1;54;786;4.41;4.44;2.75
0.91;"Fair";"G";"VS2";64.9;54;4860;6.04;6.08;3.93
1.02;"Ideal";"I";"VS2";60.8;57;4281;6.42;6.5;3.93
1.21;"Premium";"H";"VS2";59.3;60;6974;6.99;6.93;4.13
1.33;"Premium";"I";"SI2";59.7;59;5094;7.21;7.15;4.29
1.11;"Ideal";"E";"IF";61.8;55;15464;6.65;6.69;4.12
1.01;"Very Good";"F";"VS1";62.9;58;7455;6.29;6.31;3.96
0.91;"Ideal";"G";"SI2";61.6;56;3985;6.24;6.22;3.84
0.74;"Very Good";"F";"VS2";61.3;61;2775;5.8;5.84;3.57
1.63;"Premium";"G";"SI2";62.5;57;9730;7.57;7.54;4.72
0.36;"Ideal";"D";"VS2";61.8;56;852;4.56;4.6;2.83
0.38;"Premium";"E";"VS2";61.8;58;1112;4.64;4.61;2.86
1.2;"Ideal";"J";"SI1";61.9;57;5071;6.8;6.87;4.23
1;"Premium";"F";"SI2";61.3;61;4452;6.39;6.36;3.91
0.34;"Ideal";"I";"VS1";62.6;56;689;4.47;4.44;2.79
0.26;"Ideal";"G";"SI1";61.8;55;377;4.08;4.11;2.53
1.01;"Fair";"H";"VS1";67.1;59;3676;6.16;6.09;4.11
0.57;"Ideal";"G";"SI1";62;55;1662;5.35;5.32;3.31
0.73;"Ideal";"E";"SI1";61.9;57;2581;5.74;5.79;3.57
1.54;"Very Good";"G";"VVS2";61.1;55;15225;7.5;7.53;4.59
2.08;"Good";"I";"SI2";57;63;11313;8.49;8.45;4.83
1.25;"Very Good";"F";"SI2";58;63;5851;7.16;7.06;4.13
0.53;"Ideal";"G";"SI1";62.7;55;1308;5.15;5.19;3.24
0.41;"Ideal";"H";"VS2";61.7;56;1163;4.77;4.79;2.95
1.71;"Ideal";"I";"SI2";61.1;55;10438;7.78;7.73;4.74
0.76;"Good";"I";"SI1";64.3;60;2326;5.69;5.64;3.64
1.17;"Ideal";"J";"VS1";62.5;57;5242;6.68;6.63;4.16
0.3;"Very Good";"I";"SI1";60.5;62;394;4.33;4.37;2.63
0.71;"Very Good";"H";"SI1";62.4;58;2076;5.67;5.7;3.55
0.32;"Ideal";"H";"IF";61.9;54.2;783;4.38;4.42;2.72
0.56;"Ideal";"D";"SI1";62.3;56;1723;5.26;5.33;3.3
0.3;"Premium";"H";"VVS2";60.6;58;776;4.35;4.33;2.63
1.51;"Premium";"F";"VS2";62.5;58;14294;7.36;7.21;4.55
1.2;"Ideal";"I";"SI1";62.2;57;4368;6.8;6.77;4.22
1.41;"Premium";"E";"VS2";62.7;56;11644;7.18;7.1;4.48
